Date,Customer,Veggie,Value
2019-01-02 00:00:00,Amamos las verduras,Potatoes,38893.28657999999
2019-01-03 00:00:00,Mi mamo radi zelenjavo d.o.o.,Cabbage,50883.76974999999
2019-01-05 00:00:00,Mi mamo radi zelenjavo d.o.o.,Broccoli,21458.015699999996
2019-01-05 00:00:00,Mi mamo radi zelenjavo d.o.o.,Cabbage,35251.76525
2019-01-07 00:00:00,Wir lieben Gemüse,Broccoli,136910.46912
2019-01-07 00:00:00,Wir lieben Gemüse,Peppers,66879.36417
2019-01-08 00:00:00,Amamos las verduras,Cabbage,130000.85375
2019-01-14 00:00:00,Mi mamo radi zelenjavo d.o.o.,Peppers,78845.00120999999
2019-01-15 00:00:00,We love veggies,Broccoli,74517.83634
2019-01-15 00:00:00,We love veggies,Potatoes,27621.66531
2019-01-17 00:00:00,Amamos las verduras,Peppers,325703.48783999996
2019-01-21 00:00:00,Amiamo le verdure,Peppers,142946.62821
2019-01-21 00:00:00,Volimo povrce,Peppers,157048.98614999998
2019-01-23 00:00:00,Amamos las verduras,Broccoli,52864.74777
2019-01-26 00:00:00,Mi mamo radi zelenjavo d.o.o.,Potatoes,142624.49039999998
2019-01-28 00:00:00,Volimo povrce,Cabbage,143838.816
2019-01-29 00:00:00,Volimo povrce,Cabbage,55574.087999999996
2019-02-02 00:00:00,Amamos las verduras,Potatoes,49818.367079999996
2019-02-03 00:00:00,Mi mamo radi zelenjavo d.o.o.,Cabbage,65176.9635
2019-02-05 00:00:00,Mi mamo radi zelenjavo d.o.o.,Broccoli,27485.5482
2019-02-05 00:00:00,Mi mamo radi zelenjavo d.o.o.,Cabbage,45153.9465
2019-02-07 00:00:00,Wir lieben Gemüse,Broccoli,175065.84576
2019-02-07 00:00:00,Wir lieben Gemüse,Peppers,85665.70241999999
2019-02-08 00:00:00,Amamos las verduras,Cabbage,166517.94749999998
2019-02-14 00:00:00,Mi mamo radi zelenjavo d.o.o.,Peppers,100992.47346
2019-02-15 00:00:00,We love veggies,Broccoli,95449.81284
2019-02-15 00:00:00,We love veggies,Potatoes,35380.56006
2019-02-17 00:00:00,Amamos las verduras,Peppers,416473.31231999997
2019-02-21 00:00:00,Amiamo le verdure,Peppers,183100.17546
2019-02-21 00:00:00,Volimo povrce,Peppers,201163.8699
2019-02-23 00:00:00,Amamos las verduras,Broccoli,67714.39602
2019-02-26 00:00:00,Mi mamo radi zelenjavo d.o.o.,Potatoes,182372.29919999998
2019-02-28 00:00:00,Volimo povrce,Cabbage,254986.99200000003
2019-03-02 00:00:00,Amamos las verduras,Potatoes,89209.893
2019-03-03 00:00:00,Mi mamo radi zelenjavo d.o.o.,Cabbage,116664.72149999999
2019-03-05 00:00:00,Mi mamo radi zelenjavo d.o.o.,Broccoli,49250.4201
2019-03-05 00:00:00,Mi mamo radi zelenjavo d.o.o.,Cabbage,80855.5665
2019-03-07 00:00:00,Wir lieben Gemüse,Broccoli,313352.78411999997
2019-03-07 00:00:00,Wir lieben Gemüse,Peppers,153435.7671
2019-03-08 00:00:00,Amamos las verduras,Cabbage,298122.865
2019-03-14 00:00:00,Mi mamo radi zelenjavo d.o.o.,Peppers,180925.0416
2019-03-15 00:00:00,We love veggies,Broccoli,171019.72758
2019-03-15 00:00:00,We love veggies,Potatoes,63448.97069999999
2019-03-17 00:00:00,Amamos las verduras,Peppers,745489.91796
2019-03-21 00:00:00,Amiamo le verdure,Peppers,328013.06706000003
2019-03-21 00:00:00,Volimo povrce,Peppers,360375.98586
2019-03-23 00:00:00,Amamos las verduras,Broccoli,121545.74082
2019-03-26 00:00:00,Mi mamo radi zelenjavo d.o.o.,Potatoes,326600.06256
2019-03-28 00:00:00,Volimo povrce,Cabbage,327279.18799999997
2019-03-29 00:00:00,Volimo povrce,Cabbage,129511.56949999998
2019-04-02 00:00:00,Amamos las verduras,Potatoes,92268.91553999999
2019-04-03 00:00:00,Mi mamo radi zelenjavo d.o.o.,Cabbage,120666.81575
2019-04-05 00:00:00,Mi mamo radi zelenjavo d.o.o.,Broccoli,50938.129199999996
2019-04-05 00:00:00,Mi mamo radi zelenjavo d.o.o.,Cabbage,83628.17725000001
2019-04-07 00:00:00,Wir lieben Gemüse,Broccoli,415474.52748
2019-04-07 00:00:00,Wir lieben Gemüse,Peppers,158695.94181
2019-04-08 00:00:00,Amamos las verduras,Cabbage,308347.65125
2019-04-14 00:00:00,Mi mamo radi zelenjavo d.o.o.,Peppers,187126.33383
2019-04-15 00:00:00,We love veggies,Broccoli,176880.68099999998
2019-04-15 00:00:00,We love veggies,Potatoes,65621.46122999999
2019-04-17 00:00:00,Amamos las verduras,Peppers,988432.68348
2019-04-21 00:00:00,Amiamo le verdure,Peppers,339256.06029
2019-04-21 00:00:00,Volimo povrce,Peppers,372728.15330999997
2019-04-23 00:00:00,Amamos las verduras,Broccoli,125703.64233
2019-04-26 00:00:00,Mi mamo radi zelenjavo d.o.o.,Potatoes,432983.90376
2019-04-28 00:00:00,Volimo povrce,Cabbage,340355.444
2019-04-29 00:00:00,Volimo povrce,Cabbage,265177.7255
2019-05-02 00:00:00,Amamos las verduras,Potatoes,268442.44931999996
2019-05-03 00:00:00,Mi mamo radi zelenjavo d.o.o.,Cabbage,347103.26525
2019-05-05 00:00:00,Mi mamo radi zelenjavo d.o.o.,Broccoli,148167.70799999998
2019-05-05 00:00:00,Mi mamo radi zelenjavo d.o.o.,Cabbage,240532.49575
2019-05-07 00:00:00,Wir lieben Gemüse,Broccoli,942048.534
2019-05-07 00:00:00,Wir lieben Gemüse,Peppers,456410.78667
2019-05-08 00:00:00,Amamos las verduras,Cabbage,886921.79625
2019-05-14 00:00:00,Mi mamo radi zelenjavo d.o.o.,Peppers,538143.9623100001
2019-05-15 00:00:00,We love veggies,Broccoli,514518.94151999993
2019-05-15 00:00:00,We love veggies,Potatoes,188658.74360999995
2019-05-17 00:00:00,Amamos las verduras,Peppers,2241165.7382400003
2019-05-21 00:00:00,Amiamo le verdure,Peppers,975648.37023
2019-05-21 00:00:00,Volimo povrce,Peppers,1071906.44637
2019-05-23 00:00:00,Amamos las verduras,Broccoli,361294.68171
2019-05-26 00:00:00,Mi mamo radi zelenjavo d.o.o.,Potatoes,981704.0743199999
2019-05-28 00:00:00,Volimo povrce,Cabbage,984733.84
2019-05-29 00:00:00,Volimo povrce,Cabbage,388151.167
2019-06-02 00:00:00,Amamos las verduras,Potatoes,87461.88011999999
2019-06-03 00:00:00,Mi mamo radi zelenjavo d.o.o.,Cabbage,120666.81575
2019-06-05 00:00:00,Mi mamo radi zelenjavo d.o.o.,Broccoli,48286.014899999995
2019-06-05 00:00:00,Mi mamo radi zelenjavo d.o.o.,Cabbage,83628.17725000001
2019-06-07 00:00:00,Wir lieben Gemüse,Broccoli,308863.91627999995
2019-06-07 00:00:00,Wir lieben Gemüse,Peppers,158695.94181
2019-06-08 00:00:00,Amamos las verduras,Cabbage,308347.65125
2019-06-14 00:00:00,Mi mamo radi zelenjavo d.o.o.,Peppers,187126.33383
2019-06-15 00:00:00,We love veggies,Broccoli,167670.61134
2019-06-15 00:00:00,We love veggies,Potatoes,65621.46122999999
2019-06-17 00:00:00,Amamos las verduras,Peppers,734811.11508
2019-06-21 00:00:00,Amiamo le verdure,Peppers,339256.06029
2019-06-21 00:00:00,Volimo povrce,Peppers,372728.15330999997
2019-06-23 00:00:00,Amamos las verduras,Broccoli,125703.64233
2019-06-26 00:00:00,Mi mamo radi zelenjavo d.o.o.,Potatoes,321923.84976
2019-06-28 00:00:00,Volimo povrce,Cabbage,327279.18799999997
