Date,Customer,Veggie,Value
2022-01-02 00:00:00,Amamos las verduras,Potatoes,20758
2022-01-03 00:00:00,Mi mamo radi zelenjavo d.o.o.,Cabbage,56166
2022-01-05 00:00:00,Mi mamo radi zelenjavo d.o.o.,Broccoli,19402
2022-01-05 00:00:00,Mi mamo radi zelenjavo d.o.o.,Cabbage,38938
2022-01-07 00:00:00,Wir lieben Gemüse,Broccoli,124092
2022-01-07 00:00:00,Wir lieben Gemüse,Peppers,55182
2022-01-08 00:00:00,Amamos las verduras,Cabbage,107702
2022-01-14 00:00:00,Mi mamo radi zelenjavo d.o.o.,Peppers,48828
2022-01-15 00:00:00,We love veggies,Broccoli,67390
2022-01-15 00:00:00,We love veggies,Potatoes,19703
2022-01-17 00:00:00,Amamos las verduras,Peppers,269556
2022-01-21 00:00:00,Amiamo le verdure,Peppers,117994
2022-01-21 00:00:00,Volimo povrce,Peppers,129642
2022-01-23 00:00:00,Amamos las verduras,Broccoli,47982
2022-01-26 00:00:00,Mi mamo radi zelenjavo d.o.o.,Potatoes,76458
2022-01-28 00:00:00,Volimo povrce,Cabbage,120700
2022-01-29 00:00:00,Volimo povrce,Cabbage,60554
2022-02-02 00:00:00,Amamos las verduras,Potatoes,26410
2022-02-03 00:00:00,Mi mamo radi zelenjavo d.o.o.,Cabbage,71478
2022-02-05 00:00:00,Mi mamo radi zelenjavo d.o.o.,Broccoli,24682
2022-02-05 00:00:00,Mi mamo radi zelenjavo d.o.o.,Cabbage,49546
2022-02-07 00:00:00,Wir lieben Gemüse,Broccoli,157884
2022-02-07 00:00:00,Wir lieben Gemüse,Peppers,70206
2022-02-08 00:00:00,Amamos las verduras,Cabbage,137042
2022-02-14 00:00:00,Mi mamo radi zelenjavo d.o.o.,Peppers,62112
2022-02-15 00:00:00,We love veggies,Broccoli,85726
2022-02-15 00:00:00,We love veggies,Potatoes,25055
2022-02-17 00:00:00,Amamos las verduras,Peppers,342948
2022-02-21 00:00:00,Amiamo le verdure,Peppers,150106
2022-02-21 00:00:00,Volimo povrce,Peppers,164922
2022-02-23 00:00:00,Amamos las verduras,Broccoli,60990
2022-02-26 00:00:00,Mi mamo radi zelenjavo d.o.o.,Potatoes,97248
2022-02-28 00:00:00,Volimo povrce,Cabbage,230496
2022-03-02 00:00:00,Amamos las verduras,Potatoes,31460
2022-03-03 00:00:00,Mi mamo radi zelenjavo d.o.o.,Cabbage,63840
2022-03-05 00:00:00,Mi mamo radi zelenjavo d.o.o.,Broccoli,22072
2022-03-05 00:00:00,Mi mamo radi zelenjavo d.o.o.,Cabbage,44272
2022-03-07 00:00:00,Wir lieben Gemüse,Broccoli,141104
2022-03-07 00:00:00,Wir lieben Gemüse,Peppers,62752
2022-03-08 00:00:00,Amamos las verduras,Cabbage,163216
2022-03-14 00:00:00,Mi mamo radi zelenjavo d.o.o.,Peppers,74016
2022-03-15 00:00:00,We love veggies,Broccoli,76656
