Month short,Quantity SY,Quantity PY,Date week
Jan,,13824,1
Jan,221499,109256,2
Jan,77812,42898,3
Jan,258596,141105,4
Jan,191076,106117,5
Jan,,,6
Feb,99263,53999,6
Feb,182566,102633,7
Feb,270448,140256,8
Feb,285257,158611,9
Feb,115248,70297,10
Mar,96552,96552,10
Mar,183536,183536,11
Mar,251024,251024,12
Mar,284060,284060,13
Mar,125965,125965,14
Apr,31460,63380,14
Apr,291683,238221,15
Apr,97764,297751,16
Apr,414933,168152,17
Apr,371696,315518,18
May,595144,839888,19
May,355684,293012,20
May,1063740,881668,21
May,761233,806702,22
May,45469,,23
Jun,63380,96552,23
Jun,216708,183536,24
Jun,251024,251024,25
Jun,168152,284060,26
Jun,241873,125965,27
Jul,248722,334233,27
Jul,2406087,1142111,28
Jul,931346,1321672,29
Jul,3384059,884483,30
Jul,1998783,1272073,31
Jul,,,32
Aug,1091023,1220338,32
Aug,2006206,729370,33
Aug,2970488,2179538,34
Aug,3131457,1440321,35
Aug,1264371,210709,36
Sep,286273,286273,36
Sep,978619,978619,37
Sep,1133124,1133124,38
Sep,758639,758639,39
Sep,1091290,1091290,40
Oct,,142017,40
Oct,1264488,1122471,41
Oct,440753,440753,42
Oct,1326820,1449632,43
Oct,1213036,1090224,44
Oct,,,45
Nov,435984,435984,45
Nov,828614,828614,46
Nov,1132492,1132492,47
Nov,1280806,1280806,48
Nov,567695,567695,49
Dec,390413,222825,49
Dec,1379556,761423,50
Dec,1697612,881144,51
Dec,1179609,589683,52
Dec,1332711,848089,53
