Month short,Date week,Value SY,Value PY
Jan,1,,$19239.27552
Jan,2,276869.80679999996,$139971.76811
Jan,3,86034.63152999998,$52684.89159
Jan,4,620839.86276,$310069.41312
Jan,5,268835.13308999996,$169814.54189
Jan,6,,
Feb,6,145208.2213,$78688.12315999999
Feb,7,207082.39567999996,$123926.38647
Feb,8,521105.8444499999,$272717.34045
Feb,9,513504.14538,$278974.82862
Feb,10,206553.22799999997,$125989.79825
Mar,10,140665.6918,$140665.6918
Mar,11,221589.75256,$221589.75256
Mar,12,488011.03751999995,$488011.03752
Mar,13,499404.30828,$499404.30828
Mar,14,225760.77125,$225760.77125
Apr,14,43783.8258,$100992.4458
Apr,15,318471.61856,$261262.99856
Apr,16,120062.89691999998,$600193.68639
Apr,17,930565.9600499999,$338091.66744
Apr,18,598507.50616,$504923.70526
May,19,647694.0079800002,$1086336.44198
May,20,704988.2954,$359850.63318
May,21,2210222.12286,$2116717.35108
May,22,1078543.2485099998,$1160035.06376
May,23,81491.81524999999,
Jun,23,100992.4458,$140665.6918
Jun,24,261262.99855999998,$221589.75256
Jun,25,488011.03751999995,$488011.03752
Jun,26,338091.66744,$499404.30828
Jun,27,387073.41209,$225760.77125
Jul,27,346153.86905999994,$532622.87825
Jul,28,2972688.615,$1377194.62738
Jul,29,1029621.63039,$2569985.31669
Jul,30,7437085.1694,$1779878.90646
Jul,31,3215847.8379899994,$2035600.49249
Jul,32,,
Aug,32,1596243.7261,$1328303.30813
Aug,33,2275684.69928,$1445548.80746
Aug,34,5724198.50565,$4529050.77327
Aug,35,5638986.300179999,$1997191.09644
Aug,36,2266068.92475,$377643.20525
Sep,36,456187.72968999995,$456187.7296899999
Sep,37,1179915.3089400001,$1179915.30894
Sep,38,2203062.53067,$2203062.53067
Sep,39,1525969.24086,$1525969.24086
Sep,40,1746336.4696999998,$1746336.4697
Oct,40,,$197649.31941
Oct,41,1635664.6317,$1438015.31229
Oct,42,541312.56399,$541312.56399
Oct,43,3185442.7241999996,$3185442.7242
Oct,44,1744633.40056,$1744633.40056
Oct,45,,
Nov,45,635290.24582,$635290.24582
Nov,46,1000502.7715,$1000502.7715
Nov,47,2201974.8648899994,$2201974.864889999
Nov,48,2252606.40996,$2252606.40996
Nov,49,1017451.3637499998,$1017451.36375
Dec,49,633301.06973,$355086.22753
Dec,50,1579369.5316899999,$918147.1100999999
Dec,51,3271311.9653699994,$1713376.91877
Dec,52,2373637.6324199997,$1186629.15222
Dec,53,2144206.8543899995,$1357132.87409
