Month short,Quantity SY,Customer
Aug,3261260,Amamos las verduras
Jul,2795432,Amamos las verduras
Aug,2209317,Mi mamo radi zelenjavo d.o.o.
Aug,2170032,Volimo povrce
Jul,1893749,Mi mamo radi zelenjavo d.o.o.
Dec,1863776,Amamos las verduras
Jul,1860096,Volimo povrce
Sep,1325605,Amamos las verduras
Nov,1325122,Amamos las verduras
Oct,1324980,Amamos las verduras
Dec,1262613,Mi mamo radi zelenjavo d.o.o.
Aug,1253085,Wir lieben Gemüse
Dec,1240224,Volimo povrce
Jul,1074093,Wir lieben Gemüse
Sep,984271,Mi mamo radi zelenjavo d.o.o.
Nov,983584,Mi mamo radi zelenjavo d.o.o.
Oct,983487,Mi mamo radi zelenjavo d.o.o.
Sep,900885,Volimo povrce
Nov,900270,Volimo povrce
Oct,900138,Volimo povrce
May,880406,Amamos las verduras
Aug,824333,Amiamo le verdure
Aug,745518,We love veggies
Dec,716109,Wir lieben Gemüse
Jul,706589,Amiamo le verdure
May,653550,Mi mamo radi zelenjavo d.o.o.
Jul,639038,We love veggies
May,598482,Volimo povrce
Dec,471101,Amiamo le verdure
Sep,460203,Wir lieben Gemüse
Nov,460056,Wir lieben Gemüse
Oct,460008,Wir lieben Gemüse
Dec,426078,We love veggies
Apr,387177,Amamos las verduras
May,305610,Wir lieben Gemüse
Sep,302871,Amiamo le verdure
Nov,302701,Amiamo le verdure
Oct,302668,Amiamo le verdure
Feb,296900,Amamos las verduras
Mar,293656,Amamos las verduras
Jun,293656,Amamos las verduras
Apr,276478,Volimo povrce
Sep,274110,We love veggies
Nov,273858,We love veggies
Oct,273816,We love veggies
Apr,271042,Mi mamo radi zelenjavo d.o.o.
Jan,233378,Amamos las verduras
Mar,218008,Mi mamo radi zelenjavo d.o.o.
Jun,218008,Mi mamo radi zelenjavo d.o.o.
Feb,201157,Mi mamo radi zelenjavo d.o.o.
May,201150,Amiamo le verdure
Mar,199689,Volimo povrce
Jun,199689,Volimo povrce
Feb,197709,Volimo povrce
May,182072,We love veggies
Jan,158125,Mi mamo radi zelenjavo d.o.o.
Jan,155448,Volimo povrce
Apr,144983,Wir lieben Gemüse
Feb,114045,Wir lieben Gemüse
Mar,101928,Wir lieben Gemüse
Jun,101928,Wir lieben Gemüse
Jan,89637,Wir lieben Gemüse
Feb,75053,Amiamo le verdure
Feb,67918,We love veggies
Mar,67100,Amiamo le verdure
Apr,67100,Amiamo le verdure
Jun,67100,Amiamo le verdure
Mar,60756,We love veggies
Apr,60756,We love veggies
Jun,60756,We love veggies
Jan,58997,Amiamo le verdure
Jan,53398,We love veggies
