Customer,Quantity SY,Veggie
Amamos las verduras,1398240,Broccoli
Amamos las verduras,3546682,Cabbage
Amamos las verduras,7969745,Peppers
Amamos las verduras,1366681,Potatoes
Amiamo le verdure,3446763,Peppers
Mi mamo radi zelenjavo d.o.o.,566778,Broccoli
Mi mamo radi zelenjavo d.o.o.,2780694,Cabbage
Mi mamo radi zelenjavo d.o.o.,1606617,Peppers
Mi mamo radi zelenjavo d.o.o.,5082822,Potatoes
Volimo povrce,5812291,Cabbage
Volimo povrce,3786849,Peppers
We love veggies,1968303,Broccoli
We love veggies,1149771,Potatoes
Wir lieben Gemüse,3669323,Broccoli
Wir lieben Gemüse,1612362,Peppers
