Date,Customer,Veggie,Quantity
2019-01-02 00:00:00,Amamos las verduras,Potatoes,27946
2019-01-03 00:00:00,Mi mamo radi zelenjavo d.o.o.,Cabbage,28391
2019-01-05 00:00:00,Mi mamo radi zelenjavo d.o.o.,Broccoli,9790
2019-01-05 00:00:00,Mi mamo radi zelenjavo d.o.o.,Cabbage,19669
2019-01-07 00:00:00,Wir lieben Gemüse,Broccoli,62464
2019-01-07 00:00:00,Wir lieben Gemüse,Peppers,27857
2019-01-08 00:00:00,Amamos las verduras,Cabbage,72535
2019-01-15 00:00:00,We love veggies,Broccoli,33998
2019-01-15 00:00:00,We love veggies,Potatoes,19847
2019-01-17 00:00:00,Amamos las verduras,Peppers,135664
2019-01-21 00:00:00,Amiamo le verdure,Peppers,59541
2019-01-21 00:00:00,Volimo povrce,Peppers,65415
2019-01-23 00:00:00,Amamos las verduras,Broccoli,24119
2019-01-26 00:00:00,Mi mamo radi zelenjavo d.o.o.,Potatoes,102480
2019-01-28 00:00:00,Volimo povrce,Cabbage,80256
2019-01-29 00:00:00,Volimo povrce,Cabbage,31008
2019-02-02 00:00:00,Amamos las verduras,Potatoes,35796
2019-02-03 00:00:00,Mi mamo radi zelenjavo d.o.o.,Cabbage,36366
2019-02-05 00:00:00,Mi mamo radi zelenjavo d.o.o.,Broccoli,12540
2019-02-05 00:00:00,Mi mamo radi zelenjavo d.o.o.,Cabbage,25194
2019-02-07 00:00:00,Wir lieben Gemüse,Broccoli,79872
2019-02-07 00:00:00,Wir lieben Gemüse,Peppers,35682
2019-02-08 00:00:00,Amamos las verduras,Cabbage,92910
2019-02-14 00:00:00,Mi mamo radi zelenjavo d.o.o.,Peppers,42066
2019-02-15 00:00:00,We love veggies,Broccoli,43548
2019-02-15 00:00:00,We love veggies,Potatoes,25422
2019-02-17 00:00:00,Amamos las verduras,Peppers,173472
2019-02-21 00:00:00,Amiamo le verdure,Peppers,76266
2019-02-21 00:00:00,Volimo povrce,Peppers,83790
2019-02-23 00:00:00,Amamos las verduras,Broccoli,30894
2019-02-26 00:00:00,Mi mamo radi zelenjavo d.o.o.,Potatoes,131040
2019-02-28 00:00:00,Volimo povrce,Cabbage,142272
2019-03-02 00:00:00,Amamos las verduras,Potatoes,64100
2019-03-03 00:00:00,Mi mamo radi zelenjavo d.o.o.,Cabbage,65094
2019-03-05 00:00:00,Mi mamo radi zelenjavo d.o.o.,Broccoli,22470
2019-03-05 00:00:00,Mi mamo radi zelenjavo d.o.o.,Cabbage,45114
2019-03-07 00:00:00,Wir lieben Gemüse,Broccoli,142964
2019-03-07 00:00:00,Wir lieben Gemüse,Peppers,63910
2019-03-08 00:00:00,Amamos las verduras,Cabbage,166340
2019-03-14 00:00:00,Mi mamo radi zelenjavo d.o.o.,Peppers,75360
2019-03-15 00:00:00,We love veggies,Broccoli,78026
2019-03-15 00:00:00,We love veggies,Potatoes,45590
2019-03-17 00:00:00,Amamos las verduras,Peppers,310516
2019-03-21 00:00:00,Amiamo le verdure,Peppers,136626
2019-03-21 00:00:00,Volimo povrce,Peppers,150106
2019-03-23 00:00:00,Amamos las verduras,Broccoli,55454
2019-03-26 00:00:00,Mi mamo radi zelenjavo d.o.o.,Potatoes,234672
2019-03-28 00:00:00,Volimo povrce,Cabbage,182608
2019-03-29 00:00:00,Volimo povrce,Cabbage,72262
2019-04-02 00:00:00,Amamos las verduras,Potatoes,66298
2019-04-03 00:00:00,Mi mamo radi zelenjavo d.o.o.,Cabbage,67327
2019-04-05 00:00:00,Mi mamo radi zelenjavo d.o.o.,Broccoli,23240
2019-04-05 00:00:00,Mi mamo radi zelenjavo d.o.o.,Cabbage,46661
2019-04-07 00:00:00,Wir lieben Gemüse,Broccoli,189556
2019-04-07 00:00:00,Wir lieben Gemüse,Peppers,66101
2019-04-08 00:00:00,Amamos las verduras,Cabbage,172045
2019-04-14 00:00:00,Mi mamo radi zelenjavo d.o.o.,Peppers,77943
2019-04-15 00:00:00,We love veggies,Broccoli,80700
2019-04-15 00:00:00,We love veggies,Potatoes,47151
2019-04-17 00:00:00,Amamos las verduras,Peppers,411708
2019-04-21 00:00:00,Amiamo le verdure,Peppers,141309
2019-04-21 00:00:00,Volimo povrce,Peppers,155251
2019-04-23 00:00:00,Amamos las verduras,Broccoli,57351
2019-04-26 00:00:00,Mi mamo radi zelenjavo d.o.o.,Potatoes,311112
2019-04-28 00:00:00,Volimo povrce,Cabbage,189904
2019-04-29 00:00:00,Volimo povrce,Cabbage,147958
2019-05-02 00:00:00,Amamos las verduras,Potatoes,192884
2019-05-03 00:00:00,Mi mamo radi zelenjavo d.o.o.,Cabbage,193669
2019-05-05 00:00:00,Mi mamo radi zelenjavo d.o.o.,Broccoli,67600
2019-05-05 00:00:00,Mi mamo radi zelenjavo d.o.o.,Cabbage,134207
2019-05-07 00:00:00,Wir lieben Gemüse,Broccoli,429800
2019-05-07 00:00:00,Wir lieben Gemüse,Peppers,190107
2019-05-08 00:00:00,Amamos las verduras,Cabbage,494865
2019-05-14 00:00:00,Mi mamo radi zelenjavo d.o.o.,Peppers,224151
2019-05-15 00:00:00,We love veggies,Broccoli,234744
2019-05-15 00:00:00,We love veggies,Potatoes,135557
2019-05-17 00:00:00,Amamos las verduras,Peppers,933504
2019-05-21 00:00:00,Amiamo le verdure,Peppers,406383
2019-05-21 00:00:00,Volimo povrce,Peppers,446477
2019-05-23 00:00:00,Amamos las verduras,Broccoli,164837
2019-05-26 00:00:00,Mi mamo radi zelenjavo d.o.o.,Potatoes,705384
2019-05-28 00:00:00,Volimo povrce,Cabbage,549440
2019-05-29 00:00:00,Volimo povrce,Cabbage,216572
2019-06-02 00:00:00,Amamos las verduras,Potatoes,62844
2019-06-03 00:00:00,Mi mamo radi zelenjavo d.o.o.,Cabbage,67327
2019-06-05 00:00:00,Mi mamo radi zelenjavo d.o.o.,Broccoli,22030
2019-06-05 00:00:00,Mi mamo radi zelenjavo d.o.o.,Cabbage,46661
2019-06-07 00:00:00,Wir lieben Gemüse,Broccoli,140916
2019-06-07 00:00:00,Wir lieben Gemüse,Peppers,66101
2019-06-08 00:00:00,Amamos las verduras,Cabbage,172045
2019-06-14 00:00:00,Mi mamo radi zelenjavo d.o.o.,Peppers,77943
2019-06-15 00:00:00,We love veggies,Broccoli,76498
2019-06-15 00:00:00,We love veggies,Potatoes,47151
2019-06-17 00:00:00,Amamos las verduras,Peppers,306068
2019-06-21 00:00:00,Amiamo le verdure,Peppers,141309
2019-06-21 00:00:00,Volimo povrce,Peppers,155251
2019-06-23 00:00:00,Amamos las verduras,Broccoli,57351
2019-06-26 00:00:00,Mi mamo radi zelenjavo d.o.o.,Potatoes,231312
2019-06-28 00:00:00,Volimo povrce,Cabbage,182608
2019-06-29 00:00:00,Volimo povrce,Cabbage,68614
2019-07-02 00:00:00,Amamos las verduras,Potatoes,331584
2019-07-03 00:00:00,Mi mamo radi zelenjavo d.o.o.,Cabbage,336864
2019-07-05 00:00:00,Mi mamo radi zelenjavo d.o.o.,Broccoli,116160
2019-07-05 00:00:00,Mi mamo radi zelenjavo d.o.o.,Cabbage,233376
2019-07-07 00:00:00,Wir lieben Gemüse,Broccoli,749568
2019-07-07 00:00:00,Wir lieben Gemüse,Peppers,330528
2019-07-08 00:00:00,Amamos las verduras,Cabbage,860640
2019-07-14 00:00:00,Mi mamo radi zelenjavo d.o.o.,Peppers,389664
2019-07-15 00:00:00,We love veggies,Broccoli,403392
2019-07-15 00:00:00,We love veggies,Potatoes,235488
2019-07-17 00:00:00,Amamos las verduras,Peppers,1627968
2019-07-21 00:00:00,Amiamo le verdure,Peppers,706464
2019-07-21 00:00:00,Volimo povrce,Peppers,776160
2019-07-23 00:00:00,Amamos las verduras,Broccoli,286176
2019-07-26 00:00:00,Mi mamo radi zelenjavo d.o.o.,Potatoes,1229760
2019-07-28 00:00:00,Volimo povrce,Cabbage,963072
2019-07-29 00:00:00,Volimo povrce,Cabbage,372096
2019-08-02 00:00:00,Amamos las verduras,Potatoes,386848
2019-08-03 00:00:00,Mi mamo radi zelenjavo d.o.o.,Cabbage,393008
2019-08-05 00:00:00,Mi mamo radi zelenjavo d.o.o.,Broccoli,135520
2019-08-05 00:00:00,Mi mamo radi zelenjavo d.o.o.,Cabbage,272272
2019-08-07 00:00:00,Wir lieben Gemüse,Broccoli,874496
2019-08-07 00:00:00,Wir lieben Gemüse,Peppers,385616
2019-08-08 00:00:00,Amamos las verduras,Cabbage,1004080
2019-08-14 00:00:00,Mi mamo radi zelenjavo d.o.o.,Peppers,454608
2019-08-15 00:00:00,We love veggies,Broccoli,470624
2019-08-15 00:00:00,We love veggies,Potatoes,274736
2019-08-17 00:00:00,Amamos las verduras,Peppers,1899296
2019-08-21 00:00:00,Amiamo le verdure,Peppers,824208
2019-08-21 00:00:00,Volimo povrce,Peppers,905520
2019-08-23 00:00:00,Amamos las verduras,Broccoli,333872
2019-08-26 00:00:00,Mi mamo radi zelenjavo d.o.o.,Potatoes,1434720
2019-08-28 00:00:00,Volimo povrce,Cabbage,1123584
2019-08-29 00:00:00,Volimo povrce,Cabbage,434112
2019-09-02 00:00:00,Amamos las verduras,Potatoes,267572
2019-09-03 00:00:00,Mi mamo radi zelenjavo d.o.o.,Cabbage,271830
2019-09-05 00:00:00,Mi mamo radi zelenjavo d.o.o.,Broccoli,93790
2019-09-05 00:00:00,Mi mamo radi zelenjavo d.o.o.,Cabbage,188362
2019-09-07 00:00:00,Wir lieben Gemüse,Broccoli,595721
2019-09-07 00:00:00,Wir lieben Gemüse,Peppers,266782
2019-09-08 00:00:00,Amamos las verduras,Cabbage,694508
2019-09-14 00:00:00,Mi mamo radi zelenjavo d.o.o.,Peppers,314584
2019-09-15 00:00:00,We love veggies,Broccoli,325678
2019-09-15 00:00:00,We love veggies,Potatoes,190210
2019-09-17 00:00:00,Amamos las verduras,Peppers,1293891
2019-09-21 00:00:00,Amiamo le verdure,Peppers,570294
2019-09-21 00:00:00,Volimo povrce,Peppers,626534
2019-09-23 00:00:00,Amamos las verduras,Broccoli,231230
2019-09-26 00:00:00,Mi mamo radi zelenjavo d.o.o.,Potatoes,977830
2019-09-28 00:00:00,Volimo povrce,Cabbage,737308
2019-09-29 00:00:00,Volimo povrce,Cabbage,324399
2019-10-02 00:00:00,Amamos las verduras,Potatoes,265068
2019-10-03 00:00:00,Mi mamo radi zelenjavo d.o.o.,Cabbage,269252
2019-10-05 00:00:00,Mi mamo radi zelenjavo d.o.o.,Broccoli,92864
2019-10-05 00:00:00,Mi mamo radi zelenjavo d.o.o.,Cabbage,186548
2019-10-07 00:00:00,Wir lieben Gemüse,Broccoli,591490
2019-10-07 00:00:00,Wir lieben Gemüse,Peppers,264224
2019-10-08 00:00:00,Amamos las verduras,Cabbage,687936
2019-10-14 00:00:00,Mi mamo radi zelenjavo d.o.o.,Peppers,311496
2019-10-15 00:00:00,We love veggies,Broccoli,322482
2019-10-15 00:00:00,We love veggies,Potatoes,188286
2019-10-17 00:00:00,Amamos las verduras,Peppers,1284640
2019-10-21 00:00:00,Amiamo le verdure,Peppers,564754
2019-10-21 00:00:00,Volimo povrce,Peppers,620478
2019-10-23 00:00:00,Amamos las verduras,Broccoli,228860
2019-10-26 00:00:00,Mi mamo radi zelenjavo d.o.o.,Potatoes,970470
2019-10-28 00:00:00,Volimo povrce,Cabbage,737062
2019-10-29 00:00:00,Volimo povrce,Cabbage,316719
2019-11-02 00:00:00,Amamos las verduras,Potatoes,253760
2019-11-03 00:00:00,Mi mamo radi zelenjavo d.o.o.,Cabbage,257775
2019-11-05 00:00:00,Mi mamo radi zelenjavo d.o.o.,Broccoli,88917
2019-11-05 00:00:00,Mi mamo radi zelenjavo d.o.o.,Cabbage,178605
2019-11-07 00:00:00,Wir lieben Gemüse,Broccoli,573100
2019-11-07 00:00:00,Wir lieben Gemüse,Peppers,252971
2019-11-08 00:00:00,Amamos las verduras,Cabbage,658610
2019-11-14 00:00:00,Mi mamo radi zelenjavo d.o.o.,Peppers,298252
2019-11-15 00:00:00,We love veggies,Broccoli,308771
2019-11-15 00:00:00,We love veggies,Potatoes,180299
2019-11-17 00:00:00,Amamos las verduras,Peppers,1244720
2019-11-21 00:00:00,Amiamo le verdure,Peppers,540725
2019-11-21 00:00:00,Volimo povrce,Peppers,594069
2019-11-23 00:00:00,Amamos las verduras,Broccoli,219163
2019-11-26 00:00:00,Mi mamo radi zelenjavo d.o.o.,Potatoes,940434
2019-11-28 00:00:00,Volimo povrce,Cabbage,737134
2019-11-29 00:00:00,Volimo povrce,Cabbage,284015
2019-12-02 00:00:00,Amamos las verduras,Potatoes,253712
2019-12-03 00:00:00,Mi mamo radi zelenjavo d.o.o.,Cabbage,257752
2019-12-05 00:00:00,Mi mamo radi zelenjavo d.o.o.,Broccoli,88880
2019-12-05 00:00:00,Mi mamo radi zelenjavo d.o.o.,Cabbage,178568
2019-12-07 00:00:00,Wir lieben Gemüse,Broccoli,572928
2019-12-07 00:00:00,Wir lieben Gemüse,Peppers,252904
2019-12-08 00:00:00,Amamos las verduras,Cabbage,658520
2019-12-14 00:00:00,Mi mamo radi zelenjavo d.o.o.,Peppers,298152
2019-12-15 00:00:00,We love veggies,Broccoli,308656
2019-12-15 00:00:00,We love veggies,Potatoes,180184
2019-12-17 00:00:00,Amamos las verduras,Peppers,1244328
2019-12-21 00:00:00,Amiamo le verdure,Peppers,540552
2019-12-21 00:00:00,Volimo povrce,Peppers,593880
